,Location,Price @rate,Area,Facing,Status,Floor,Furniture,Feature,Bathrooms,Agent,Time
0,"GH 13 Paschim Vihar, New Delhi","₹ 1.7Cr @14,167/Sq Ft.",1200 Sq Ft.,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,Harpreet Singh (Admin),Posted: 3 Months ago
1,"Dwarka Sector 7, New Delhi","₹ 85Lac @6,538/Sq Ft.",1300 Sq Ft.,North,Under Construction,Ground of 3 Floor,Unfurnished,Co-Operative Society,2 Bathroom,Vipul Mehta (Builder),Posted: 8 Months ago
2,"Karampura, New Delhi","₹ 1.78Cr @11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,10th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 10 Months ago
3,"New Friends Colony, New Delhi","₹ 3.5Cr @140,000/Sq Yd.",250 Sq Yd.,South-East,Ready to Move,Ground of 4 Floor,Semi Furnished,Freehold,3 Bathroom,Bhasin (Agent),Posted: 11 Months ago
4,"Moti Nagar, New Delhi","₹ 1.78Cr @11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,11th of 26 Floor,Semi Furnished,Freehold,3 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
5,"Moti Nagar, New Delhi","₹ 1.78Cr @11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,6th of 26 Floor,Unfurnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
6,"Moti Nagar, New Delhi","₹ 1.88Cr @11,750/Sq Ft.",1600 Sq Ft.,North-East,Ready to Move,12th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
7,"Okhla Phase 1, New Delhi","₹ 4.49Cr @20,098/Sq Ft.",2234 Sq Ft.,North-East,Under Construction,5th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
8,"Delhi Cantonment, New Delhi","₹ 1.78Cr @11,259/Sq Ft.",1581 Sq Ft.,North-East,Ready to Move,8th of 26 Floor,Semi Furnished,Power of Attorney,2 Bathroom,Krishna Shukla (Agent),Posted: 1 Year ago
9,"Gurgaon Faridabad Road, New Delhi","₹ 85Lac @5,667/Sq Ft.",1500 Sq Ft.,North-East,Ready to Move,2nd of 10 Floor,Semi Furnished,Freehold,3 Bathroom,Harsh Khatter (Agent),Posted: 1 Year ago
10,"Paschim Vihar, New Delhi","₹ 45Lac @9,000/Sq Ft.",500 Sq Ft.,East,Ready to Move,1st of 1 Floor,Unfurnished,Freehold,3 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
11,"Dwarka Sector 3, New Delhi","₹ 1.33Cr @7,000/Sq Ft.",1900 Sq Ft.,East,Ready to Move,5th of 9 Floor,Semi Furnished,Freehold,3 Bathroom,Shruti Bansal (Agent),Posted: 1 Year ago
12,"Dwarka, New Delhi","₹ 1.44Cr @9,290/Sq Ft.",1550 Sq Ft.,East,Ready to Move,3rd of 10 Floor,Semi Furnished,Freehold,3 Bathroom,Shruti Bansal (Agent),Posted: 1 Year ago
13,"Dwarka, New Delhi","₹ 41.5Lac @4,150/Sq Ft.",1000 Sq Ft.,West,Under Construction,2nd of 16 Floor,Semi Furnished,Co-Operative Society,3 Bathroom,Rajesh Sinha (Agent),Posted: 1 Year ago
14,"Dwarka Sector 7, New Delhi","₹ 1.75Cr @9,284/Sq Ft.",1885 Sq Ft.,North-East,Ready to Move,2nd of 8 Floor,Semi Furnished,Freehold,2 Bathroom,Pramod Gupta (Agent),Posted: 1 Year ago
15,"Karol Bagh, New Delhi","₹ 2.75Cr @14,474/Sq Ft.",1900 Sq Ft.,North,Under Construction,1st of 11 Floor,Semi Furnished,Freehold,3 Bathroom,Mega Estate (Agent),Posted: 1 Year ago
16,"Karol Bagh, New Delhi","₹ 2.55Cr @14,366/Sq Ft.",1775 Sq Ft.,North,Under Construction,5th of 11 Floor,Semi Furnished,Freehold,3 Bathroom,Mega Estate (Agent),Posted: 1 Year ago
17,"Dwarka Sector 10, New Delhi","₹ 1.25Cr @8,532/Sq Ft.",1465 Sq Ft.,North-East,Ready to Move,3rd of 3 Floor,Semi Furnished,Freehold,3 Bathroom,Mandeep Luthra (Agent),Posted: 1 Year ago
18,"Commonwealth Games Village 2010, New Delhi","₹ 3.55Cr @19,189/Sq Ft.",1850 Sq Ft.,North-East,Ready to Move,4th of 6 Floor,Semi Furnished,Freehold,3 Bathroom,Tarun Mahajan (Agent),Posted: 1 Year ago
19,"Paschim Vihar, New Delhi","₹ 1.2Cr @9,600/Sq Ft.",1250 Sq Ft.,North-East,Ready to Move,4th of 4 Floor,Unfurnished,Freehold,3 Bathroom,Harpreet Singh (Agent),Posted: 1 Year ago
